Time,Country Name,High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],"Industrial design applications, nonresident, by count [IP.IDS.NRCT]","Industrial design applications, resident, by count [IP.IDS.RSCT]","Patent applications, nonresidents [IP.PAT.NRES]","Patent applications, residents [IP.PAT.RESD]",Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS],Scientific and technical journal articles [IP.JRN.ARTC.SC],Researchers in R&D (per million people) [SP.POP.SCIE.RD.P6],Technicians in R&D (per million people) [SP.POP.TECH.RD.P6]
2013,India,8.86996678,3315,5182,32362,10669,0.706420004,82779.36,..,..
2013,United States,20.1783051,15763,20271,283781,287831,2.702150106,426596.66,4090.931396,..
2013,United Kingdom,23.57438288,212,4997,7966,14972,1.620110035,98589.76,4119.451172,1188.21523
2013,United Arab Emirates,3.606990127,468,76,1402,21,..,1727.03,..,..
2013,Ireland,24.98452542,..,..,..,..,..,7003.61,..,1009.22516
2013,Germany,17.29432832,10440,46757,15814,47353,2.835989952,104648.18,4366.686523,1709.52961
2013,Switzerland,26.74996128,7762,4095,631,1525,..,21302.67,..,..
2013,Saudi Arabia,0.712561216,524,168,440,491,0.815159976,7075.23,..,..
2013,Qatar,0.000299216,..,..,323,9,..,784.06,..,..
2013,Canada,15.49184234,4500,846,30174,4567,1.70539999,59601.41,4623.117676,1378.32254
2014,India,9.217166203,3141,6168,30814,12040,0.701590002,91336.65,..,..
2014,United States,20.46714365,15058,20320,293706,285096,2.717859983,428140.59,4205.870605,..
2014,United Kingdom,22.19217535,184,4900,7844,15196,1.642639995,98439.22,4227.620117,1255.49029
2014,United Arab Emirates,10.16578905,698,107,1438,29,0.675230026,1766.44,..,..
2014,Ireland,24.92505457,..,..,..,..,..,7044.36,..,1045.85329
2014,Germany,17.20601614,13965,47189,17811,48154,2.877840042,106365.98,4320.704102,1883.19568
2014,Switzerland,26.65761456,9041,4244,568,1480,..,21788.24,..,..
2014,Saudi Arabia,0.590576497,451,234,135,652,..,8006.17,..,..
2014,Qatar,0.049124709,..,..,477,5,..,1075.86,..,..
2014,Canada,14.66524653,4908,859,31283,4198,1.714169979,60186.35,4541.848145,1352.97622
2015,India,8.021878855,3461,6829,33079,12579,0.693099976,97787.68,216.000824,95.54919
2015,United States,21.38094108,18187,22785,301075,288335,2.786999941,428203.78,4269.874023,..
2015,United Kingdom,22.32275235,473,5999,7934,14867,1.646329999,99434.66,4319.501465,1349.98182
2015,United Arab Emirates,5.30115833,745,65,1714,35,0.865700006,2234.7,1980.478149,..
2015,Ireland,28.34171332,63,115,..,..,..,6777.56,5270.659668,1161.91749
2015,Germany,17.82123201,11173,45458,19509,47384,2.933789968,106343.65,4743.786133,1909.85383
2015,Switzerland,27.05064976,8295,4800,446,1477,3.078320026,21848.15,5271.927734,2935.19578
2015,Saudi Arabia,0.787293724,503,321,1691,715,..,8730.33,..,..
2015,Qatar,1.101173545,..,..,..,..,0.518830001,1137.33,583.982605,390.4962
2015,Canada,14.82804766,5049,797,32687,4277,1.693240047,60544.98,4523.314941,1455.58808
2016,India,7.660357231,3920,6753,31858,13199,0.669839978,107193.04,..,..
2016,United States,22.411343,21015,24405,310244,295327,2.85345006,428476.45,4251.164063,..
2016,United Kingdom,23.54590131,1292,8738,8183,13876,1.65692997,99716.51,4357.933105,1305.4251
2016,United Arab Emirates,2.617914768,867,79,1642,57,0.931800008,2508.37,2383.08374,..
2016,Ireland,32.83289276,59,122,70,79,..,6984.3,5178.244141,1151.98543
2016,Germany,18.07932578,9917,46216,19419,48480,2.94039011,107804.05,4861.743164,1945.70514
2016,Switzerland,27.33489695,7920,3817,309,1462,..,21982.57,..,..
2016,Saudi Arabia,1.30485785,551,386,2196,1070,..,9265.82,..,..
2016,Qatar,0.001132908,..,..,548,16,..,1395.84,..,..
2016,Canada,14.09887722,5254,916,30667,4078,1.728729963,60405.13,4369.629883,1247.83745
2017,India,7.360672823,3583,7534,31621,14961,0.66602999,112504.97,..,..
2017,United States,19.25881837,22451,23618,313052,293904,2.905479908,430198.17,4411.699219,..
2017,United Kingdom,22.60672202,2604,16665,8771,13301,1.669469953,99990.59,4434.96582,..
2017,United Arab Emirates,2.86008045,747,110,1733,63,..,2772.91,..,..
2017,Ireland,29.0261775,30,125,75,62,..,7117.53,..,1164.60931
2017,Germany,15.81156999,6694,39121,19927,47785,3.047100067,107880.17,5076.519043,2006.65327
2017,Switzerland,14.02342933,8773,4301,291,1337,3.074620008,22442.37,5235.812012,2619.74154
2017,Saudi Arabia,0.734713772,540,461,2282,909,..,9740.96,..,..
2017,Qatar,0.005506202,..,..,574,19,..,1367.22,..,..
2017,Canada,14.3483562,5718,815,30969,4053,1.685799956,60547.79,4422.562988,1268.37307
2018,India,9.040355719,3704,8928,33766,16289,0.655290008,127527.46,..,73.05997
2018,United States,18.47405364,24324,22825,312046,285095,3.012340069,435033.88,4748.841797,..
2018,United Kingdom,22.31955799,4603,22904,8076,12865,1.718350053,100600.79,4554.46582,..
2018,United Arab Emirates,3.239309958,638,54,1723,57,1.263890028,2996.8,2378.888916,889.5377
2018,Ireland,24.94301275,467,88,32,76,..,7282.42,..,..
2018,Germany,15.74446286,5661,38815,21281,46617,3.110110044,107580.88,5217.300293,..
2018,Switzerland,13.31746718,8239,3458,332,1283,..,22189.21,..,..
2018,Saudi Arabia,0.543860565,572,345,2321,1078,..,10585.4,..,..
2018,Qatar,1.798843133,..,..,..,..,0.531289995,1508.57,577.3485107,397.09787
2018,Canada,15.42187895,6093,776,31812,4349,1.675780058,62057.65,4516.304199,..
2019,India,10.22349936,4342,9381,34173,19454,..,129549.92,..,..
2019,United States,18.67265174,26865,22988,336340,285113,3.173830032,438020.45,4821.227539,..
2019,United Kingdom,23.08326246,8173,21726,7189,12061,1.720909953,101343.03,4683.765625,..
2019,United Arab Emirates,3.038624316,857,66,1843,55,1.310649991,4053.25,2382.101318,..
2019,Ireland,25.97710577,77,105,35,58,..,7747.07,..,..
2019,Germany,16.38465067,7480,36617,20802,46632,3.167789936,108725.2,5396.470703,..
2019,Switzerland,12.90854409,9292,3334,348,1369,3.192219973,22336.94,5551.969727,..
2019,Saudi Arabia,0.648362907,456,348,2463,1188,..,12743.6,..,..
2019,Qatar,0.002503856,..,..,799,39,..,1785.11,..,..
2019,Canada,16.10018141,6814,734,32250,4238,1.591230035,62742.71,..,..
2020,India,11.0322568,3831,8962,33630,23141,..,149212.62,..,..
2020,United States,19.48384869,29056,21686,327586,269586,3.422869921,455855.57,..,..
2020,United Kingdom,22.99716275,11372,21361,8659,11990,..,105564.47,..,..
2020,United Arab Emirates,5.414098096,634,52,1869,39,1.488309979,4443.22,2442.537354,..
2020,Ireland,25.52310128,14,234,54,75,1.232439995,8562.78,4769.141602,..
2020,Germany,15.49963163,4877,35764,19845,42260,3.109299898,109378.75,5393.145508,..
2020,Switzerland,12.84405443,7245,2915,301,1384,..,23075.04,..,..
2020,Saudi Arabia,0.608341616,411,537,2274,1294,0.519909978,17321.16,453.15271,..
2020,Qatar,7.104237403,..,..,604,81,..,2346.63,..,..
2020,Canada,15.3336272,6792,738,30113,4452,1.696380019,65821.57,..,..
2021,India,10.21221554,3949,17497,35306,26267,..,..,..,..
2021,United States,19.8938692,37564,21913,329229,262244,..,..,..,..
2021,United Kingdom,23.85368382,46481,28299,7263,11592,..,..,..,..
2021,United Arab Emirates,8.957950708,869,103,2354,69,1.495249987,..,2488.817871,..
2021,Ireland,..,19,95,42,75,..,..,..,..
2021,Germany,15.22554676,3549,33448,18747,39822,..,..,..,..
2021,Switzerland,14.2377796,8405,3403,267,1288,..,..,..,..
2021,Saudi Arabia,..,547,853,2581,1398,0.464230001,..,700.6372681,..
2021,Qatar,1.712115258,..,..,722,47,0.680779994,..,902.5779419,..
2021,Canada,14.96785875,8776,715,32445,4710,..,..,..,..
2022,India,..,..,..,..,..,..,..,..,..
2022,United States,..,..,..,..,..,..,..,..,..
2022,United Kingdom,..,..,..,..,..,..,..,..,..
2022,United Arab Emirates,..,..,..,..,..,..,..,..,..
2022,Ireland,..,..,..,..,..,..,..,..,..
2022,Germany,..,..,..,..,..,..,..,..,..
2022,Switzerland,..,..,..,..,..,..,..,..,..
2022,Saudi Arabia,..,..,..,..,..,..,..,..,..
2022,Qatar,..,..,..,..,..,..,..,..,..
2022,Canada,..,..,..,..,..,..,..,..,..
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,